"Year Pair","Percentage Difference"
"19934451-10099320","-49.34%"
"10099320-1413673","-86%"
"1413673-1635483","15.69%"
"1635483-12851684","685.8%"
"12851684-6589578","-48.73%"
"6589578-3106589","-52.86%"
"3106589-2898292","-6.71%"
"2898292-4411989","52.23%"
"4411989-4645670","5.3%"
"4645670-1329923","-71.37%"
"1329923-5959902","348.14%"
"5959902-6742143","13.13%"
"6742143-9909600","46.98%"
"9909600-5450868","-44.99%"
"5450868-2989192","-45.16%"
"2989192-6059651","102.72%"
"6059651-1023391","-83.11%"
"1023391-1881259","83.83%"
"1881259-2839172","50.92%"
"2839172-1327503","-53.24%"
"1327503-8915456","571.6%"
"8915456-2082669","-76.64%"
"2082669-19697457","845.78%"
"19697457-9940828","-49.53%"
"9940828-736162","-92.59%"
"736162-11586941","1473.97%"
"11586941-3875589","-66.55%"
"3875589-3982267","2.75%"
"3982267-12783977","221.02%"
"12783977-1054491","-91.75%"
"1054491-4834605","358.48%"
"4834605-851058","-82.4%"
"851058-6548009","669.4%"
"6548009-26956435","311.67%"
"26956435-2948427","-89.06%"
"2948427-626249","-78.76%"
"626249-8310301","1227%"
"8310301-7073146","-14.89%"
"7073146-1846092","-73.9%"
"1846092-5754798","211.73%"
"5754798-583029","-89.87%"
"583029-3529385","505.35%"
"3529385-4830620","36.87%"
"4830620-733375","-84.82%"
"733375-6641928","805.67%"
"6641928-2958208","-55.46%"
"2958208-38421464","1198.81%"
"38421464-5278906","-86.26%"
"5278906-3593222","-31.93%"
"3593222-926454","-74.22%"
"926454-647484","-30.11%"
"647484-19645772","2934.17%"
"19645772-10006693","-49.06%"
"10006693-1406299","-85.95%"
"1406299-1616547","14.95%"
"1616547-12873761","696.37%"
"12873761-6568645","-48.98%"
"6568645-3093526","-52.9%"
"3093526-2892987","-6.48%"
"2892987-4397353","52%"
"4397353-4625253","5.18%"
"4625253-1329100","-71.26%"
"1329100-5930538","346.21%"
"5930538-6705586","13.07%"
"6705586-9900571","47.65%"
"9900571-5419171","-45.26%"
"5419171-2988081","-44.86%"
"2988081-6045448","102.32%"
"6045448-1014699","-83.22%"
"1014699-1869365","84.23%"
"1869365-2798636","49.71%"
"2798636-1324201","-52.68%"
"1324201-8904413","572.44%"
"8904413-2084117","-76.59%"
"2084117-19673174","843.96%"
"19673174-9845333","-49.96%"
"9845333-721640","-92.67%"
"721640-11575977","1504.12%"
"11575977-3849733","-66.74%"
"3849733-3939233","2.32%"
"3939233-12779559","224.42%"
"12779559-1053661","-91.76%"
"1053661-4777576","353.43%"
"4777576-843190","-82.35%"
"843190-6499615","670.84%"
"6499615-26538614","308.31%"
"26538614-2903379","-89.06%"
"2903379-626604","-78.42%"
"626604-8256630","1217.68%"
"8256630-6985464","-15.4%"
"6985464-1851420","-73.5%"
"1851420-5742117","210.15%"
"5742117-579679","-89.9%"
"579679-3583073","518.11%"
"3583073-4817678","34.46%"
"4817678-728300","-84.88%"
"728300-6561516","800.94%"
"6561516-2947036","-55.09%"
"2947036-38066920","1191.7%"
"38066920-5197580","-86.35%"
"5197580-3592053","-30.89%"
"3592053-917060","-74.47%"
"917060-633736","-30.89%"
"633736-19361792","2955.18%"
"19361792-9907756","-48.83%"
"9907756-1392704","-85.94%"
"1392704-1599464","14.85%"
"1599464-12868747","704.57%"
"12868747-6542411","-49.16%"
"6542411-3078116","-52.95%"
"3078116-2882946","-6.34%"
"2882946-4383272","52.04%"
"4383272-4601049","4.97%"
"4601049-1328535","-71.13%"
"1328535-5887776","343.18%"
"5887776-6657291","13.07%"
"6657291-9889024","48.54%"
"9889024-5383661","-45.56%"
"5383661-2984345","-44.57%"
"2984345-6028076","101.99%"
"6028076-1006370","-83.31%"
"1006370-1855617","84.39%"
"1855617-2761584","48.82%"
"2761584-1321069","-52.16%"
"1321069-8874374","571.76%"
"8874374-2080085","-76.56%"
"2080085-19594330","842%"
"19594330-9750405","-50.24%"
"9750405-704925","-92.77%"
"704925-11560380","1539.94%"
"11560380-3818851","-66.97%"
"3818851-3900343","2.13%"
"3900343-12758729","227.12%"
"12758729-1053252","-91.74%"
"1053252-4727273","348.83%"
"4727273-834708","-82.34%"
"834708-6451365","672.89%"
"6451365-26092033","304.44%"
"26092033-2858111","-89.05%"
"2858111-626358","-78.08%"
"626358-8185131","1206.78%"
"8185131-6899123","-15.71%"
"6899123-1853881","-73.13%"
"1853881-5724692","208.8%"
"5724692-575251","-89.95%"
"575251-3638965","532.59%"
"3638965-4799277","31.89%"
"4799277-720316","-84.99%"
"720316-6479703","799.56%"
"6479703-2933369","-54.73%"
"2933369-37659181","1183.82%"
"37659181-5119329","-86.41%"
"5119329-3583561","-30%"
"3583561-908446","-74.65%"
"908446-619371","-31.82%"
"619371-19091156","2982.35%"
"19091156-9810417","-48.61%"
"9810417-1376298","-85.97%"
"1376298-1583364","15.05%"
"1583364-12848554","711.47%"
"12848554-6514861","-49.29%"
"6514861-3062553","-52.99%"
"3062553-2868107","-6.35%"
"2868107-4361333","52.06%"
"4361333-4567968","4.74%"
"4567968-1328320","-70.92%"
"1328320-5834299","339.22%"
"5834299-6605058","13.21%"
"6605058-9886095","49.67%"
"9886095-5347740","-45.91%"
"5347740-2976872","-44.33%"
"2976872-6007182","101.8%"
"6007182-998554","-83.38%"
"998554-1841625","84.43%"
"1841625-2730066","48.24%"
"2730066-1319171","-51.68%"
"1319171-8832406","569.54%"
"8832406-2069706","-76.57%"
"2069706-19487053","841.54%"
"19487053-9651380","-50.47%"
"9651380-689781","-92.85%"
"689781-11549590","1574.39%"
"11549590-3785742","-67.22%"
"3785742-3868721","2.19%"
"3868721-12731381","229.09%"
"12731381-1051695","-91.74%"
"1051695-4679602","344.96%"
"4679602-825198","-82.37%"
"825198-6402387","675.86%"
"6402387-25639373","300.47%"
"25639373-2813673","-89.03%"
"2813673-625904","-77.75%"
"625904-8100653","1194.23%"
"8100653-6819579","-15.81%"
"6819579-1853619","-72.82%"
"1853619-5706871","207.88%"
"5706871-570134","-90.01%"
"570134-3682966","545.98%"
